sample,image,grid,roifile,mpp
TCGA-AZ-6599-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6599-01Z-00-DX1.9d6aae3d-6934-4e96-8699-db41e1194f29-358.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6599-01Z-00-DX1.9d6aae3d-6934-4e96-8699-db41e1194f29-358.oid0.json,0.252
TCGA-AZ-6600-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6600-01A-01-BS1.5c772252-6a7b-4165-b59f-ae4212a70e5d.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6600-01A-01-BS1.5c772252-6a7b-4165-b59f-ae4212a70e5d.oid0.json,0.252
TCGA-G4-6317-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6317-01Z-00-DX1.6521a551-1516-4431-b3d7-af0a46978bcf.svs-311.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6317-01Z-00-DX1.6521a551-1516-4431-b3d7-af0a46978bcf.svs-311.oid0.json,0.252
TCGA-G4-6320-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6320-01Z-00-DX1.09f11d38-4d47-44c9-b8d6-4d4910c6280e.svs-312.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6320-01Z-00-DX1.09f11d38-4d47-44c9-b8d6-4d4910c6280e.svs-312.oid0.json,0.252
TCGA-G4-6321-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6321-01Z-00-DX1.20bd4687-4b24-4666-a722-d42b9731136e.svs-313.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6321-01Z-00-DX1.20bd4687-4b24-4666-a722-d42b9731136e.svs-313.oid0.json,0.252
TCGA-G4-6322-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6322-01Z-00-DX1.8676af67-716a-4052-a5e7-024b2e29c492.svs-314.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6322-01Z-00-DX1.8676af67-716a-4052-a5e7-024b2e29c492.svs-314.oid0.json,0.252
TCGA-G4-6323-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6323-01Z-00-DX1.f97c27a6-9fbe-4a81-b4aa-020c25279449.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6323-01Z-00-DX1.f97c27a6-9fbe-4a81-b4aa-020c25279449.oid0.json,0.252
TCGA-G4-6586-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6586-01Z-00-DX1.f19ef98f-9540-4b8d-bd13-5891e79b2576.svs-209.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6586-01Z-00-DX1.f19ef98f-9540-4b8d-bd13-5891e79b2576.svs-209.oid0.json,0.252
TCGA-G4-6588-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6588-01A-01-BS1.64b848e3-100a-4f3b-9034-3b3e810b31fd.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6588-01A-01-BS1.64b848e3-100a-4f3b-9034-3b3e810b31fd.oid0.json,0.2462
TCGA-G4-6588-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6588-01Z-00-DX1.0747172e-f630-4b7c-9341-55078585ae00.svs-316.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6588-01Z-00-DX1.0747172e-f630-4b7c-9341-55078585ae00.svs-316.oid0.json,0.252
TCGA-G4-6625-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6625-01Z-00-DX1.0fa26667-2581-4f96-a891-d78dbc3299b4.svs-210.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6625-01Z-00-DX1.0fa26667-2581-4f96-a891-d78dbc3299b4.svs-210.oid0.json,0.252
TCGA-G4-6626-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6626-01Z-00-DX1.20e7691e-9ef5-4278-a7d4-3967e36f24d5.svs-211.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6626-01Z-00-DX1.20e7691e-9ef5-4278-a7d4-3967e36f24d5.svs-211.oid0.json,0.252
TCGA-G4-6627-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6627-01Z-00-DX1.f23c6977-d0cb-4bc8-b373-4b1b73c331cc.svs-212.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6627-01Z-00-DX1.f23c6977-d0cb-4bc8-b373-4b1b73c331cc.svs-212.oid0.json,0.252
TCGA-G4-6628-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-G4-6628-01Z-00-DX1.d67973d1-9544-47e1-9ecb-e9d8d7f310e6.svs-317.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-G4-6628-01Z-00-DX1.d67973d1-9544-47e1-9ecb-e9d8d7f310e6.svs-317.oid0.json,0.252
TCGA-NH-A50T-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-NH-A50T-01Z-00-DX1.4624B690-C0DE-42BD-852C-6EBABF40255F.svs-213.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-NH-A50T-01Z-00-DX1.4624B690-C0DE-42BD-852C-6EBABF40255F.svs-213.oid0.json,0.2456
